// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : MuServer1.02nSeason2+ Viciados         \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//==========================================================================
//Project: NaMEch
//Sources: NaM4 
//Re-Struct & Fixes: Echy-
//Information: Spots de Mobs
//=========================================================================

// 0 - Guardias / NPC / Trampas
// 1 - Spots
// 2 - Mobs normales
// 3 - Bone King / Dorados
// 4 - Blood Castle Mobs / Gates / Otros

//=========================================================================================
//======================================= Invasion Dorados =================================
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	2	// Golden Budge Dragon
44	0	30	182	128	195	145	-1	3	// Golden Dragon
53	0	30	185	132	185	132	-1	1	// Golden Titan
55	0	30	132	83	132	83	-1	1	// Death King
54	0	30	183	128	188	135	-1	3	// Golden Soldier
56	0	30	132	83	138	90	-1	5	// Death Bone
78	0	30	10	10	240	240	-1	4	// Golden Goblin
79	0	30	10	10	240	240	-1	3	// Golden Dragon
80	0	30	185	132	185	132	-1	3	// Golden Lizard King
81	0	30	132	83	132	83	-1	5	// Golden Vepar
82	0	30	183	128	188	135	-1	2	// Golden Tantallos
83	0	30	132	83	138	90	-1	8	// Golden Iron Wheel
end

//=========================================================================================						
//================================= Lorencia NPCs - ======================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
247	0	0	146	129	2	// NPC Reset Guard
258	0	0	149	129	2	// NPC Quest Leo
375	0	0	130	138	3	// chaos card
226	0	0	122	110	3	// Trainer
230	0	0	62	130	3	// Alex
236	0	0	175	120	3	// Golden Archer
240	0	0	146	110	3	// Baz, Storage Guard
240	0	0	147	145	1	// Baz, Storage Guard
250	0	0	113	120	3	// Florence Peddler
249	0	10	131	88	1	// Berdysh Guard
249	0	20	173	125	3	// Berdysh Guard
249	0	20	94	125	7	// Berdysh Guard
249	0	20	94	130	7	// Berdysh Guard
249	0	30	131	148	1	// Berdysh Guard
248	0	0	183	137	2	// Harold, Wandering 
251	0	0	116	141	3	// Hanzo, Blacksmith
253	0	0	127	86	2	// Amy, Potion Girl
254	0	0	118	113	3	// Pasi, Wizard
255	0	0	123	135	1	// Liaman, Barmaid 
257	0	0	130	128	3	// Elf Soldier
249	0	0	114	130	3	// Crosbow Guard
end

//=========================================================================================						
//================================= Devias NPCs - ========================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
229	2	0	183	30	3	// Marlon
231	2	0	8	77	3	// Thomson Cannel
233	2	0	209	30	1	// Spirit of Archangel
233	2	0	219	9	3	// Spirit of Archangel
235	2	0	183	32	3	// Priest Sevina
//236	2	0	226	66	1	// Golden Archer
240	2	0	218	63	2	// Baz, Storage Guard
241	2	0	215	45	1	// Lawrence, Commander
244	2	0	226	25	3	// Lumen, Barmaid
245	2	0	225	41	3	// Isabel, Wizard
246	2	0	186	47	3	// Zienna
249	2	20	169	39	7	// Crossbow Guard
249	2	20	169	45	7	// Crossbow Guard
249	2	20	219	79	5	// Crossbow Guard
249	2	20	224	79	5	// Crossbow Guard
256	2	0	191	17	3	// Lahap
257	2	0	219	76	3	// Elf Soldier
//371	2	0	212	63	2	// Elite Soldier
//379	2	0	13	28	2	// Fireworks Girl
end

//=========================================================================================						
//================================= Noria NPCs - =========================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
237	3	0	171	104	3	// Charon
238	3	0	180	103	1	// Chaos Goblin
240	3	0	172	96	3	// Baz, Storage Guard
242	3	0	173	125	1	// Elf Lala
243	3	0	195	124	2	// Eo, Craftsman 
257	3	0	167	118	1	// Elf Soldier
258	3	0	168	118	2	// Leo, the Helper
253	3	0	186	129	1	// Amy, Potion Girl
end

//=========================================================================================						
//================================= Stadium NPCs - =======================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
200	6	6	63	160	1	// Soccer Ball
239	6	6	72	164	1	// Stadium Guard
240	6	0	63	49	1	// Storage Guard
